,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,label
1,It's the last week of classes #UBuffalo! <U+0001F499> You can do it <U+0001F44F> Summer is just around the corner <U+0001F60E><U+2600><U+FE0F> (<U+0001F4F7> insta: shangzhen… https://t.co/elv1SJOkqK,FALSE,54,NA,05/06/2019 16:30,TRUE,NA,1.12544E+18,NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>",UBuffalo,9,FALSE,FALSE,NA,NA,0
2,@UBWomensSoccer <U+0001F499> Great job Emily!,FALSE,3,UBWomensSoccer,05/05/2019 23:54,FALSE,1.12518E+18,1.12519E+18,1322881909,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UBuffalo,0,FALSE,FALSE,NA,NA,0
3,@UBwomenshoops @UBCoachJack @CDillard24 @minnesotalynx Congrats @CDillard24 <U+0001F918><U+0001F3FC><U+0001F499><U+0001F918><U+0001F3FC>,FALSE,6,UBwomenshoops,05/05/2019 23:52,FALSE,1.12518E+18,1.12519E+18,764413795,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UBuffalo,0,FALSE,FALSE,NA,NA,0
4,@UBmenshoops @cj_ball_is_LIfe <U+0001F918><U+0001F3FC>@cj_ball_is_LIfe we are so proud!,FALSE,20,UBmenshoops,05/05/2019 23:50,FALSE,1.12518E+18,1.12519E+18,764395134,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UBuffalo,2,FALSE,FALSE,NA,NA,0
5,"Hey #UBuffalo share your best campus pix, can you top this birds eye view from @JLynchDO ? <U+0001F918><U+0001F3FC> https://t.co/EjdG0Wsj4F",FALSE,9,NA,05/05/2019 23:49,FALSE,NA,1.12519E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UBuffalo,2,FALSE,FALSE,NA,NA,0
6,@JLynchDO @Delta @KaleidaHealth @UBMDEmergMed @ubmdems @BfloBizFirst @ubalumni Now that is a birds eye #UBuffalo vi… https://t.co/MTWZNVU9ws,FALSE,0,JLynchDO,05/05/2019 23:46,TRUE,1.12514E+18,1.12519E+18,3165849458,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UBuffalo,0,FALSE,FALSE,NA,NA,0
7,@Alnutt41 <U+0001F918><U+0001F3FC>to all our #UBuffalo student athletes!,FALSE,6,Alnutt41,05/05/2019 23:44,FALSE,1.12518E+18,1.12518E+18,260531972,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UBuffalo,0,FALSE,FALSE,NA,NA,0
8,@UB_Wrestling @alsteen1127 @sam_mitchell34 <U+0001F918><U+0001F3FC>,FALSE,2,UB_Wrestling,05/05/2019 19:43,FALSE,1.12506E+18,1.12512E+18,385711264,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UBuffalo,1,FALSE,FALSE,NA,NA,0
9,@CoachValletta <U+0001F44F><U+0001F3FB><U+0001F918><U+0001F3FC>,FALSE,0,CoachValletta,05/05/2019 1:09,FALSE,1.12478E+18,1.12484E+18,2670189114,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UBuffalo,0,FALSE,FALSE,NA,NA,0
10,"Things are getting muddy! <U+0001F3D0><U+0001F4A6> Crews are out preparing for Oozefest, a #UBuffalo tradition! <U+0001F918> https://t.co/4ZxpCS6T0D",FALSE,65,NA,05/04/2019 0:16,FALSE,NA,1.12447E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UBuffalo,7,FALSE,FALSE,NA,NA,0
